word,shift_t1,shift_t2,shift_t3,shift_t4,shift_t5,shift_t6,shift_t7,shift_t8,shift_t9,shift_t10,shift_t11
people,0.2981222867965698,0.2127882242202758,0.2312297821044922,0.305651843547821,0.2822270393371582,0.3001158237457275,0.2478828430175781,0.2526283860206604,0.2338541150093078,0.2015366554260254,0.3101425170898437
trump,0.4087986350059509,0.2794244885444641,0.2097427248954773,0.4145646095275879,0.3363276720046997,0.3956285715103149,0.3474799394607544,0.2994800209999084,0.2591033577919006,0.2306834459304809,0.3661263585090637
any,0.2400983572006225,0.1759997606277465,0.1958099603652954,0.2569928169250488,0.2059810161590576,0.2938539981842041,0.265919029712677,0.2209211587905883,0.239068329334259,0.2214797735214233,0.3227630853652954
right,0.2783529758453369,0.2170190811157226,0.2092437744140625,0.2846463322639465,0.2915555834770202,0.3207961320877075,0.2908207178115845,0.2823024988174438,0.2739988565444946,0.2552294731140136,0.3424956798553467
us,0.3834107518196106,0.2463290095329284,0.2814164757728576,0.3097144365310669,0.2967332601547241,0.3659523725509643,0.3200138807296753,0.2833598852157593,0.2689573168754577,0.2646788954734802,0.4823434352874756
vote,0.2115030884742736,0.2318029999732971,0.225831925868988,0.2010062336921692,0.1754378080368042,0.1985692381858825,0.1799678802490234,0.2231408357620239,0.2028778195381164,0.1781476140022277,0.2519567012786865
party,0.2790780067443847,0.2371828556060791,0.21002858877182,0.2276548147201538,0.2124901413917541,0.2617262005805969,0.2552692294120788,0.2387816905975341,0.2059341073036193,0.1874595880508422,0.294336199760437
republicans,0.3259501457214355,0.2886446714401245,0.3131254315376282,0.3318145275115967,0.3615570068359375,0.3534413576126098,0.3907322287559509,0.3557948470115661,0.2867926359176636,0.2287244200706482,0.3811416625976562
democrats,0.382203459739685,0.3001837134361267,0.2937436103820801,0.353907823562622,0.3811520338058471,0.3464224338531494,0.3379973769187927,0.3540081977844238,0.3304988145828247,0.3184146881103515,0.4536550045013428
republican,0.3610926866531372,0.3035166263580322,0.3102801442146301,0.3641446828842163,0.3686091303825378,0.3900084495544433,0.3549948930740356,0.3354161977767944,0.2871813774108886,0.253706157207489,0.3869302868843078
president,0.3157393932342529,0.2536548376083374,0.2116318345069885,0.2472259998321533,0.2581750154495239,0.318027138710022,0.2921800017356872,0.244415283203125,0.1923125982284546,0.1542600393295288,0.2953630685806274
state,0.3267861604690552,0.2665123343467712,0.258183479309082,0.3178346157073974,0.2902347445487976,0.3100439310073852,0.3342766165733337,0.2687456011772156,0.2119470834732055,0.1714122295379638,0.3535995483398437
election,0.1810052990913391,0.1509397029876709,0.1961284875869751,0.1936467885971069,0.1952079534530639,0.2420729994773864,0.2552850842475891,0.2410719394683838,0.1857874393463134,0.1818964481353759,0.1890551447868347
government,0.2946706414222717,0.1877875328063964,0.2232258319854736,0.2400751709938049,0.3034737110137939,0.324641466140747,0.2672532200813293,0.2731145620346069,0.2372486591339111,0.2040263414382934,0.3252865672111511
country,0.2804192304611206,0.227353811264038,0.2807239294052124,0.2643410563468933,0.2851805686950683,0.2896186113357544,0.2438696026802063,0.2685104608535766,0.2032961249351501,0.217490553855896,0.3519169092178345
money,0.1708764433860778,0.1484147310256958,0.1485308408737182,0.1890981197357177,0.1849609017372131,0.2282923460006714,0.1765033602714538,0.2014153599739074,0.1902968883514404,0.1691884994506836,0.2191758155822754
states,0.3548747301101684,0.2793505191802978,0.2988627552986145,0.3441663980484009,0.2585691213607788,0.3154517412185669,0.2863122224807739,0.2989819049835205,0.2088239789009094,0.2054052352905273,0.333600640296936
gop,0.3375324010848999,0.3326076865196228,0.3083927035331726,0.3292349576950073,0.3333595991134643,0.3649888634681701,0.4213610887527466,0.3951830267906189,0.2871475219726562,0.2433645725250244,0.4063163995742798
biden,0.3962005376815796,0.2480517029762268,0.3611500263214111,0.3539994955062866,0.4414188861846924,0.5359777808189392,0.3849062919616699,0.3553550839424133,0.2766992449760437,0.2930114865303039,0.381888747215271
white,0.2812572717666626,0.2804804444313049,0.3067033290863037,0.3265242576599121,0.2894152402877807,0.3424273729324341,0.3404808044433594,0.3170173168182373,0.3376326560974121,0.2405056953430175,0.3833761215209961
obama,0.3093944191932678,0.3293385505676269,0.279074490070343,0.3860636949539184,0.3357940316200256,0.335635781288147,0.2601542472839355,0.270645260810852,0.2169467806816101,0.264248251914978,0.3457036018371582
political,0.282056450843811,0.2145739793777465,0.199054479598999,0.2841724157333374,0.2276673316955566,0.2609018087387085,0.2514087557792663,0.2182537317276001,0.1847445964813232,0.1877347826957702,0.2644858956336975
care,0.2266407012939453,0.2032975554466247,0.1782165765762329,0.2503124475479126,0.2514960765838623,0.2557560801506042,0.2290404438972473,0.2308902740478515,0.1863619089126587,0.1834923028945922,0.2489689588546753
bernie,0.2351661920547485,0.2227207422256469,0.3582661151885986,0.3366455435752868,0.3501279950141907,0.4129629731178283,0.3564667701721191,0.3658024072647095,0.2787117958068847,0.3194848895072937,0.3822946548461914
voting,0.1857187151908874,0.2242884635925293,0.1955610513687133,0.2182177305221557,0.1732603311538696,0.2218935489654541,0.2454811334609985,0.2320475578308105,0.1748154759407043,0.160892903804779,0.2412252426147461
left,0.3316609859466553,0.2953472137451172,0.3235788345336914,0.3374665975570678,0.3678890466690063,0.3790479898452759,0.3242276906967163,0.3722864389419555,0.3093396425247192,0.3270314931869507,0.4226506948471069
democratic,0.361046552658081,0.3204581141471863,0.3176971673965454,0.3359554409980774,0.4063655734062195,0.3838162422180176,0.3271249532699585,0.3264793157577514,0.3068763017654419,0.3494309782981872,0.3840308785438537
gun,0.2193485498428344,0.2231062650680542,0.2015932202339172,0.2310280799865722,0.2414814829826355,0.2261074781417846,0.1969685554504394,0.2598690390586853,0.2079547643661499,0.1686522960662841,0.2920242547988891
news,0.2461176514625549,0.1822941899299621,0.1960819959640503,0.2315205335617065,0.2501686811447143,0.1898650527000427,0.2191479206085205,0.2562019824981689,0.1895841360092163,0.1731253862380981,0.2707650661468506
win,0.2551223039627075,0.240539014339447,0.1919111013412475,0.1885714530944824,0.1503621935844421,0.2892919182777405,0.2381953001022339,0.224258542060852,0.207356572151184,0.1615534424781799,0.2515450716018677
agree,0.2407281398773193,0.2030462026596069,0.2086536288261413,0.2299907207489013,0.2425981163978576,0.2787768840789795,0.2557442784309387,0.2229926586151123,0.227890133857727,0.1974560022354126,0.2901734113693237
house,0.3080554604530334,0.2901760339736938,0.2814170122146606,0.282971441745758,0.3073694705963135,0.2764956951141357,0.2993860840797424,0.2407978773117065,0.2144392132759094,0.203524649143219,0.3022958040237427
voters,0.2387820482254028,0.20883309841156,0.224850594997406,0.2251462936401367,0.2254934906959533,0.2377542853355407,0.2674195170402527,0.2074865102767944,0.1828387975692749,0.2155425548553466,0.2449842691421508
power,0.2705081701278686,0.1868641972541809,0.191008448600769,0.2525959014892578,0.2371786236763,0.2230714559555053,0.2196727395057678,0.1982924938201904,0.151366114616394,0.1414843797683715,0.2540686726570129
law,0.2816560268402099,0.2202770709991455,0.2251834869384765,0.2580688595771789,0.2372353076934814,0.2613915801048279,0.2283599376678466,0.2517222166061401,0.2211861610412597,0.1872376203536987,0.273193895816803
hillary,0.3381516933441162,0.2031817436218261,0.2415774464607238,0.3131487369537353,0.37314373254776,0.3365592360496521,0.3026599287986755,0.3581775426864624,0.2281351089477539,0.2925691604614258,0.3193255662918091
america,0.3615733385086059,0.3176349401473999,0.3115248680114746,0.3152463436126709,0.3197910785675049,0.3711997270584106,0.2989661693572998,0.3272213935852051,0.2919527292251587,0.2811207771301269,0.3889214992523193
liberal,0.3667685985565185,0.32034432888031,0.3588188886642456,0.4137791991233825,0.3958499431610107,0.3625884652137756,0.3558857440948486,0.4078772664070129,0.3203529119491577,0.3334537744522095,0.505696177482605
comment,0.236622929573059,0.2046365737915039,0.2449265122413635,0.250357985496521,0.2696123719215393,0.2071818709373474,0.1972905397415161,0.2526593804359436,0.2621483206748962,0.2632969617843628,0.3830583095550537
minimum,0.2858164310455322,0.1673470735549926,0.1679549217224121,0.2599308490753174,0.1716104745864868,0.3822289705276489,0.311359167098999,0.403888463973999,0.391798734664917,0.2889655828475952,0.2329763174057006
clinton,0.3795748353004455,0.2421299219131469,0.3020168542861938,0.3204911947250366,0.3071708679199219,0.3200240135192871,0.3390065431594848,0.328538179397583,0.2777526974678039,0.3286361694335937,0.3753417730331421
world,0.2499454617500305,0.18817138671875,0.2226111888885498,0.2071121931076049,0.2252915501594543,0.2668235898017883,0.2387080788612365,0.2550188302993774,0.1807930469512939,0.193318486213684,0.2868728637695312
sanders,0.189410924911499,0.1923979520797729,0.3479745388031006,0.4007756114006042,0.380260169506073,0.4967264533042907,0.3806054592132568,0.4015032649040222,0.3254827857017517,0.3668142557144165,0.3264917135238647
american,0.3457998037338257,0.2791972160339355,0.3077096939086914,0.3588796854019165,0.3137822151184082,0.3245132565498352,0.3338712453842163,0.2834607362747192,0.2211669683456421,0.2627125978469848,0.4003295302391052
tax,0.1933960914611816,0.1321557164192199,0.130515456199646,0.167470633983612,0.1872788071632385,0.2046730518341064,0.2161033153533935,0.1844500303268432,0.1834988594055175,0.1357782483100891,0.1880130171775818
rights,0.2685924172401428,0.2329060435295105,0.2102918624877929,0.250480055809021,0.3058855533599853,0.2891920804977417,0.2770209312438965,0.2706642150878906,0.2375295162200927,0.2329776287078857,0.3140718936920166
conservative,0.3296524882316589,0.2817720770835876,0.3203867673873901,0.4020347595214844,0.4330966472625732,0.3526484966278076,0.3285292387008667,0.3883048295974731,0.2995458841323852,0.3144782781600952,0.4054645299911499
senate,0.2538332343101501,0.2360727787017822,0.2233248949050903,0.286076545715332,0.2484666109085083,0.3182047605514526,0.24277925491333,0.2104442119598388,0.2182533740997314,0.1784886121749878,0.231215238571167
candidate,0.2273549437522888,0.1689123511314392,0.1617071628570556,0.2090348005294799,0.1638828516006469,0.2401818037033081,0.2342835664749145,0.2494995594024658,0.1893723011016845,0.2220791578292846,0.2216032743453979
democrat,0.347413420677185,0.3764604926109314,0.3398488759994507,0.3149459362030029,0.4151532053947449,0.4069210290908813,0.4071289300918579,0.4470992684364319,0.3303388357162475,0.3480955958366394,0.3670393228530884
free,0.2497972249984741,0.2138434648513794,0.2029807567596435,0.2990459203720093,0.2455861568450927,0.2944303154945373,0.2309931516647339,0.2804542779922485,0.2341192364692688,0.2075937390327453,0.2901219725608825
public,0.2221747636795044,0.2046784162521362,0.213977575302124,0.2062456607818603,0.2391507625579834,0.215372085571289,0.2222481966018676,0.2488532662391662,0.1806516647338867,0.1929265260696411,0.2464810609817505
war,0.3168704509735107,0.2992118597030639,0.2701305150985718,0.252426266670227,0.2718620300292969,0.2485543489456176,0.269033133983612,0.2290462255477905,0.1827104687690735,0.1707236170768737,0.3341745138168335
hate,0.3274874687194824,0.3326512575149536,0.359439492225647,0.3180195689201355,0.3075829744338989,0.4126331210136413,0.3526480197906494,0.3351573944091797,0.2921013236045837,0.2296317815780639,0.36677086353302
campaign,0.2327510118484497,0.2131173610687255,0.2126158475875854,0.2181492447853088,0.2170373797416687,0.2492361068725586,0.2180542945861816,0.2108924388885498,0.2204720973968505,0.2662335634231567,0.2504204511642456
trumps,,0.2298613786697387,,0.3371578454971313,0.3171826004981994,0.2898570895195007,0.3298184275627136,0.3195586204528808,0.2212406992912292,0.2680684328079223,0.360719084739685
votes,0.3066888451576233,0.2244477272033691,0.2069180011749267,0.2349904179573059,0.219231367111206,0.2411307692527771,0.2599076628684997,0.2396256327629089,0.1890913248062133,0.2022769451141357,0.2214340567588806
guns,0.273506760597229,0.1805529594421386,0.1989622712135315,0.2506283521652221,0.2778342962265014,0.3018664121627807,0.2495017051696777,0.2576439380645752,0.2289203405380249,0.2245351672172546,0.3562873601913452
americans,0.2893832921981811,0.2298781871795654,0.2398617267608642,0.2953746914863586,0.3325221538543701,0.293784499168396,0.3162044882774353,0.2579516172409057,0.2249953746795654,0.2451571226119995,0.2799242734909057
media,0.3245273232460022,0.2731271982192993,0.2492098212242126,0.2773473858833313,0.2925666570663452,0.2579120397567749,0.2555242776870727,0.2712872624397278,0.2619712948799133,0.2135106325149536,0.2801035642623901
control,0.240598976612091,0.2483693361282348,0.2622454166412353,0.2947274446487427,0.2948858737945556,0.2907923460006714,0.255831241607666,0.2485965490341186,0.2315022945404052,0.2303355932235717,0.3331775069236755
majority,0.2665338516235351,0.1976106166839599,0.2592544555664062,0.2480133771896362,0.295856237411499,0.2757632732391357,0.2878089547157287,0.3154994249343872,0.2518007159233093,0.2749049663543701,0.3207193613052368
