word,cosine_similarity_R_vs_D,semantic_shift,left_count,right_count
corona,0.5121911,0.48780888,345,6436
discord,0.5125213,0.48747867,184,28632
lefty,0.53433526,0.46566474,220,11466
appears,0.5546146,0.4453854,1763,31260
neocons,0.55752826,0.44247174,185,3805
lefties,0.55958426,0.44041574,225,14154
maxine,0.5674614,0.43253863,170,3542
senile,0.5681868,0.43181318,213,6386
radicals,0.5755013,0.42449868,300,5147
vaccinations,0.5786226,0.42137742,374,4140
marxist,0.58056897,0.41943103,231,15954
ccp,0.58292973,0.41707027,116,14268
regarding,0.58717763,0.41282237,14985,26058
mayors,0.587392,0.41260803,172,4919
mandates,0.5905554,0.40944457,643,19379
dominion,0.59653544,0.40346456,290,6616
historic,0.596642,0.40335798,765,4672
schiff,0.60211945,0.39788055,399,5316
lefts,0.61662066,0.38337934,172,14793
mobs,0.6189647,0.38103533,159,4018
leftist,0.61972153,0.38027847,1316,92387
sjws,0.62304676,0.37695324,118,4903
trump,0.62439317,0.37560683,144556,988339
abrams,0.6291215,0.37087852,736,3672
powell,0.6306716,0.36932838,339,3507
brigade,0.63126326,0.36873674,315,6937
lockdown,0.6326864,0.36731362,270,17211
farleft,0.6330288,0.3669712,204,3499
taiwan,0.6354527,0.3645473,191,10305
admin,0.6359062,0.36409378,1413,12461
woke,0.6366382,0.36336178,968,49207
pedophiles,0.6369593,0.3630407,296,6313
prochoice,0.63750935,0.36249065,804,6412
giuliani,0.6382468,0.36175323,633,4124
nursing,0.63846314,0.36153686,281,10924
libs,0.6441612,0.35583878,1402,21279
reparations,0.64657104,0.35342896,203,8014
pedo,0.6472573,0.35274267,141,6571
lmao,0.65046406,0.34953594,2361,48105
sanctuary,0.65124536,0.34875464,186,5613
pope,0.6533354,0.3466646,411,7041
icu,0.6548444,0.3451556,102,3659
elizabeth,0.654943,0.345057,1421,3601
supremacy,0.6551082,0.3448918,1102,16908
antiamerican,0.65618014,0.34381986,321,4189
gaslighting,0.65887797,0.34112203,432,5292
bigot,0.65937275,0.34062725,936,9115
leftists,0.6595284,0.34047163,794,72873
breitbart,0.6618397,0.33816028,584,6145
pedophilia,0.66236556,0.33763444,178,5621
pedophile,0.6632379,0.33676207,471,7982
pfizer,0.66558987,0.33441013,159,6336
gangs,0.6668278,0.3331722,287,4879
hamas,0.6676873,0.3323127,199,4829
shapiro,0.6678771,0.33212292,535,16291
rioters,0.6686628,0.3313372,454,18856
kamala,0.6688398,0.3311602,1569,23284
castro,0.6714642,0.3285358,650,3458
secular,0.67193615,0.32806385,462,5145
rightwing,0.67259735,0.32740265,3354,10111
traitor,0.67356116,0.32643884,1171,7253
mandated,0.6742473,0.32575268,411,7189
rogan,0.6751267,0.32487333,178,6674
patriots,0.67576057,0.32423943,590,5475
marxism,0.67612606,0.32387394,123,9416
cuban,0.67717165,0.32282835,383,4244
progressive,0.67802083,0.32197917,11650,32613
outraged,0.6795782,0.32042181,557,7398
reid,0.6810608,0.3189392,456,4754
ben,0.6810737,0.31892627,1099,20068
fisa,0.6816212,0.3183788,131,5024
pray,0.68292576,0.31707424,811,9413
nancy,0.68323433,0.31676567,1515,14755
audits,0.6835615,0.3164385,173,4407
deport,0.6865127,0.3134873,324,4351
maga,0.6867088,0.3132912,3115,17548
mccarthy,0.68763095,0.31236905,1349,5878
romneys,0.68814087,0.31185913,333,4422
catholics,0.68819517,0.31180483,310,5755
progressives,0.6883726,0.3116274,4983,15978
principled,0.68853235,0.31146765,286,3420
islamic,0.6894311,0.31056893,762,14038
celebrities,0.69165456,0.30834544,322,8119
hollywood,0.69192725,0.30807275,449,17205
feds,0.6922818,0.30771822,580,11606
rioting,0.6927862,0.30721378,357,16417
latinos,0.69315255,0.30684745,612,3847
msm,0.69325805,0.30674195,596,32374
patriotic,0.69510317,0.30489683,571,5054
looting,0.6953591,0.3046409,268,14566
rnc,0.6957117,0.30428833,977,6310
altright,0.69602656,0.30397344,856,5355
transgender,0.6969765,0.30302352,881,13349
nbc,0.6972607,0.30273932,488,6660
