word,"shift score time: 1-9, 2009-2018","shift score time: 10-14, 2018-2023",shift_B-A
discord,0.2552129626274109,0.49508822,0.23987525737258913
obamacare,0.1529388427734375,0.26203716,0.10909831722656249
regarding,0.3644397258758545,0.4735248,0.10908507412414553
community,0.2020584344863891,0.3086729,0.10661446551361087
minimum,0.1494140028953552,0.25396192,0.10454791710464481
comment,0.1518521308898925,0.25060916,0.0987570291101075
neocons,0.3467786908149719,0.44279295,0.0960142591850281
labeled,0.2882267236709595,0.3830912,0.09486447632904055
delegates,0.1778390407562255,0.27077,0.09293095924377451
abrams,0.2627508640289306,0.35504305,0.09229218597106942
christie,0.2818824052810669,0.37379384,0.0919114347189331
immoral,0.2619816064834595,0.35210335,0.09012174351654051
bigot,0.2774885892868042,0.36608744,0.08859885071319579
payer,0.1807625889778137,0.2689687,0.08820611102218631
hillarys,0.2455564737319946,0.32752383,0.08196735626800541
pedophilia,0.318848967552185,0.39910674,0.08025777244781501
muslim,0.2473875880241394,0.32561207,0.07822448197586057
romneys,0.2892440557479858,0.3662325,0.07698844425201423
principled,0.2892960906028747,0.36620706,0.07691096939712527
deport,0.3042309284210205,0.38058174,0.0763508115789795
us,0.1899963617324829,0.2652179,0.0752215382675171
secular,0.3033338785171509,0.37742823,0.0740943514828491
nursing,0.2572929859161377,0.3274281,0.0701351140838623
victims,0.2386187314987182,0.3083498,0.0697310685012818
rules,0.176406979560852,0.24401993,0.067612950439148
muslims,0.2295421957969665,0.295505,0.06596280420303352
npr,0.2580490708351135,0.32372677,0.06567769916488647
iran,0.1920714378356933,0.2577423,0.06567086216430668
economics,0.1642900705337524,0.22976834,0.06547826946624757
clintons,0.2666599750518799,0.33187342,0.06521344494812009
islamic,0.2913838028907776,0.35150564,0.06012183710922242
woke,0.3460562825202942,0.4037841,0.05772781747970579
blacks,0.2087078690528869,0.2662741,0.057566230947113106
china,0.162108302116394,0.21911311,0.05700480788360601
powell,0.2823795676231384,0.3386376,0.056258032376861555
liberty,0.1519429683685302,0.20547521,0.0535322416314698
sharia,0.3196320533752441,0.37247717,0.05284511662475594
amnesty,0.3281713128089905,0.38062096,0.05244964719100953
favor,0.1828343272209167,0.23522472,0.052390392779083306
classified,0.217757761478424,0.26789117,0.05013340852157602
religion,0.1422232389450073,0.19228888,0.0500656410549927
charity,0.2645208835601806,0.31412286,0.049601976439819395
oppressed,0.238086998462677,0.28670776,0.048620761537322976
scalia,0.2649998068809509,0.31250596,0.0475061531190491
islam,0.221742033958435,0.2691117,0.047369666041565006
cabinet,0.2273139953613281,0.2738127,0.04649870463867192
inequality,0.2200996875762939,0.26611042,0.046010732423706124
rifle,0.1493738293647766,0.19327807,0.043904240635223385
christianity,0.2086148858070373,0.25247008,0.04385519419296269
hysteria,0.3449625372886657,0.38650185,0.041539312711334264
rubio,0.2904349565505981,0.3316217,0.04118674344940193
students,0.1891964077949524,0.2300942,0.040897792205047606
mainstream,0.2308539152145385,0.27164775,0.04079383478546153
un,0.2872870564460754,0.3280251,0.04073804355392463
sjws,0.3126423954963684,0.35262632,0.039983924503631585
terrorists,0.2197053432464599,0.25904083,0.039335486753540094
federally,0.2635140419006347,0.30264783,0.039133788099365296
abiding,0.2388142943382263,0.27783602,0.039021725661773726
dominion,0.3288159370422363,0.36728352,0.0384675829577637
msnbc,0.2234402894973755,0.2613833,0.0379430105026245
heritage,0.2671561241149902,0.30483752,0.037681395885009794
view,0.1854920387268066,0.22173864,0.036246601273193374
pedo,0.334269642829895,0.37006873,0.03579908717010499
narrative,0.1906396746635437,0.2261827,0.035543025336456285
syria,0.2105544805526733,0.2450028,0.03444831944732668
discussion,0.1364578008651733,0.1708957,0.0344378991348267
traitor,0.3423230051994324,0.37643707,0.03411406480056761
reform,0.2057239413261413,0.23953462,0.0338106786738587
insurance,0.1009751558303833,0.13400197,0.0330268141696167
killings,0.2857860326766968,0.31837082,0.03258478732330322
organization,0.2246776223182678,0.25718945,0.03251182768173219
israel,0.2255934476852417,0.25799537,0.0324019223147583
dnc,0.2514160275459289,0.28365564,0.03223961245407109
teachers,0.2202301025390625,0.25069892,0.030468817460937492
regulation,0.1994591951370239,0.22991335,0.03045415486297609
ethnic,0.2081579566001892,0.23830676,0.030148803399810797
fraud,0.174718976020813,0.20465046,0.029931483979187018
socialists,0.287195086479187,0.316828,0.029632913520812987
journalism,0.2141356468200683,0.243343,0.0292073531799317
lefts,0.3607991933822632,0.38945007,0.028650876617736798
vaccinations,0.3768357038497925,0.40525556,0.028419856150207534
racially,0.2550029754638672,0.28340453,0.0284015545361328
church,0.1675238013267517,0.1958009,0.02827709867324829
scientific,0.1853941082954406,0.21362835,0.028234241704559404
supremacist,0.2670986652374267,0.29525268,0.028154014762573287
sides,0.1532735824584961,0.18096328,0.02768969754150391
restrictions,0.2281663417816162,0.2546367,0.026470358218383783
majority,0.166432499885559,0.19273973,0.026307230114441
bankrupt,0.2173326015472412,0.24348247,0.026149868452758795
student,0.2358413934707641,0.2617848,0.02594340652923588
morally,0.2172244787216186,0.24229622,0.02507174127838141
racists,0.2482865452766418,0.27318418,0.02489763472335821
marxist,0.3828753232955932,0.40739083,0.024515506704406775
racism,0.1901379227638244,0.21435583,0.02421790723617559
religious,0.1392293572425842,0.16260797,0.02337861275741579
cnn,0.22720468044281,0.25040865,0.023203969557190007
asians,0.2970149517059326,0.32000518,0.022990228294067383
election,0.1242777109146118,0.14671177,0.02243405908538819
economically,0.2243577241897583,0.2464059,0.02204817581024171
libertarians,0.2661314010620117,0.28780872,0.0216773189379883
marxism,0.3189320564270019,0.34051406,0.02158200357299811
pregnancy,0.1401659250259399,0.16105437,0.02088844497406009
gangs,0.3345643877983093,0.3552968,0.020732412201690698
nominee,0.1546641588211059,0.17527008,0.020605921178894093
misinformation,0.2268996238708496,0.24725294,0.020353316129150395
paul,0.2059201002120971,0.22615796,0.02023785978790288
percent,0.1683632731437683,0.18809044,0.019727166856231687
cdc,0.3019900918006897,0.32126284,0.019272748199310297
primaries,0.1830884218215942,0.20233738,0.0192489581784058
public,0.117599606513977,0.13673913,0.01913952348602299
refugees,0.2568830251693725,0.27592307,0.01904004483062749
radical,0.2708896398544311,0.28940988,0.01852024014556891
invasion,0.2582082748413086,0.2764845,0.018276225158691428
african,0.2757322788238525,0.2938528,0.01812052117614754
punishment,0.2325180768966674,0.2506253,0.018107223103332598
drugs,0.1763181686401367,0.19436991,0.018051741359863316
nbc,0.2964514493942261,0.3141991,0.017747650605773935
conservatives,0.2349812388420105,0.25262618,0.01764494115798948
mexicans,0.2692573070526123,0.2868678,0.0176104929473877
mongering,0.3050917387008667,0.3222419,0.017150161299133326
obamas,0.1899281740188598,0.20704383,0.017115655981140204
vietnam,0.2062021493911743,0.22324085,0.017038700608825702
banning,0.2155466675758361,0.23249137,0.016944702424163904
campaigns,0.2526469230651855,0.26949984,0.0168529169348145
penalty,0.234078049659729,0.25087643,0.01679838034027098
aca,0.1804530024528503,0.19715607,0.016703067547149703
opinion,0.138400912284851,0.1535387,0.01513778771514901
