vector_size,window,sample,negative,min_count,simlex_score,train_time_min
100,2,"   → SimLex Spearman: 0.3382, time: 13.79 min",20,100,0.3382437628133695,13.79
100,3,"   → SimLex Spearman: 0.3168, time: 16.84 min",20,100,0.3167800416244929,16.84
100,4,"   → SimLex Spearman: 0.3061, time: 19.91 min",20,100,0.3061403653334514,19.91
100,5,"   → SimLex Spearman: 0.2923, time: 23.35 min",20,100,0.2923144041839533,23.35
200,2,"   → SimLex Spearman: 0.3820, time: 18.23 min",20,100,0.38200584818551236,18.23
200,3,"   → SimLex Spearman: 0.3668, time: 27.29 min",20,100,0.36675199539956604,27.29
200,4,"   → SimLex Spearman: 0.3501, time: 40.2 min",20,100,0.3501186058732265,40.2
200,5,"   → SimLex Spearman: 0.3384, time: 44.32 min",20,100,0.3383608618819267,44.32
300,2,"   → SimLex Spearman: 0.3963, time: 36.79 min",20,100,0.39630913206199436,36.79
300,3,"   → SimLex Spearman: 0.3848, time: 43.07 min",20,100,0.384769443878047,43.07
300,4,"   → SimLex Spearman: 0.3739, time: 57.52 min",20,100,0.3738657863398121,57.52
300,5,"   → SimLex Spearman: 0.3533, time: 57.81 min",20,100,0.35326963829946917,57.81
