vector_size,window,sample,negative,min_count,simlex_score,train_time_min
250,2,"   → SimLex Spearman: 0.3165, time: 16.28 min",20,100,0.31649032514575715,16.28
250,2,"   → SimLex Spearman: 0.2938, time: 14.72 min",20,250,0.29382581325187596,14.72
250,2,"   → SimLex Spearman: 0.3710, time: 22.96 min",20,100,0.3709899697545341,22.96
250,2,"   → SimLex Spearman: 0.3589, time: 20.68 min",20,250,0.35888853811506793,20.68
250,3,"   → SimLex Spearman: 0.3203, time: 17.78 min",20,100,0.3203047845396143,17.78
250,3,"   → SimLex Spearman: 0.2992, time: 16.26 min",20,250,0.29923983196095666,16.26
250,3,"   → SimLex Spearman: 0.3560, time: 26.98 min",20,100,0.3560181129177012,26.98
250,3,"   → SimLex Spearman: 0.3472, time: 24.51 min",20,250,0.3472168215450983,24.51
250,4,"   → SimLex Spearman: 0.3018, time: 18.29 min",20,100,0.3017706504301503,18.29
250,4,"   → SimLex Spearman: 0.2864, time: 16.37 min",20,250,0.2864253119382319,16.37
250,4,"   → SimLex Spearman: 0.3522, time: 31.3 min",20,100,0.352223177681522,31.3
250,4,"   → SimLex Spearman: 0.3383, time: 28.16 min",20,250,0.33830882344663943,28.16
300,2,"   → SimLex Spearman: 0.3143, time: 17.53 min",20,100,0.3142566081454362,17.53
300,2,"   → SimLex Spearman: 0.2955, time: 16.6 min",20,250,0.29548429689697614,16.6
300,2,"   → SimLex Spearman: 0.3789, time: 17.66 min",20,100,0.3789290467288719,17.66
300,2,"   → SimLex Spearman: 0.3616, time: 12.16 min",20,250,0.3615533282990197,12.16
300,3,"   → SimLex Spearman: 0.3238, time: 10.75 min",20,100,0.3237876871651702,10.75
300,3,"   → SimLex Spearman: 0.2912, time: 10.32 min",20,250,0.29117323024063,10.32
300,3,"   → SimLex Spearman: 0.3631, time: 15.07 min",20,100,0.3631194272269362,15.07
300,3,"   → SimLex Spearman: 0.3436, time: 14.44 min",20,250,0.34361158527132374,14.44
300,4,"   → SimLex Spearman: 0.3133, time: 10.27 min",20,100,0.313292059703133,10.27
300,4,"   → SimLex Spearman: 0.2912, time: 9.65 min",20,250,0.29115440140527593,9.65
300,4,"   → SimLex Spearman: 0.3451, time: 16.76 min",20,100,0.34510457410476286,16.76
300,4,"   → SimLex Spearman: 0.3462, time: 15.97 min",20,250,0.3461955150785121,15.97
350,2,"   → SimLex Spearman: 0.3278, time: 9.96 min",20,100,0.3278048923857368,9.96
350,2,"   → SimLex Spearman: 0.2998, time: 9.37 min",20,250,0.2997964078008549,9.37
350,2,"   → SimLex Spearman: 0.3893, time: 13.46 min",20,100,0.3893225180829111,13.46
350,2,"   → SimLex Spearman: 0.3763, time: 12.8 min",20,250,0.3762776070649639,12.8
350,3,"   → SimLex Spearman: 0.3197, time: 10.99 min",20,100,0.31972655750527573,10.99
350,3,"   → SimLex Spearman: 0.2910, time: 10.48 min",20,250,0.29097555175423884,10.48
350,3,"   → SimLex Spearman: 0.3669, time: 16.51 min",20,100,0.36691787536963283,16.51
350,3,"   → SimLex Spearman: 0.3511, time: 15.72 min",20,250,0.3511334054824102,15.72
350,4,"   → SimLex Spearman: 0.3127, time: 10.65 min",20,100,0.3127281071284864,10.65
350,4,"   → SimLex Spearman: 0.3084, time: 9.93 min",20,250,0.30839258063419195,9.93
350,4,"   → SimLex Spearman: 0.3570, time: 18.49 min",20,100,0.3569816520547738,18.49
350,4,"   → SimLex Spearman: 0.3495, time: 17.49 min",20,250,0.3494976119600517,17.49
