word,count
people,214954
trump,144556
any,106473
right,86593
us,78856
vote,77904
party,65634
republicans,64167
democrats,54585
republican,47582
president,45816
state,43548
election,42804
government,41077
country,40939
money,38187
states,36676
gop,32346
biden,32289
white,30697
obama,30207
political,29904
care,29302
bernie,28639
voting,28355
left,27363
democratic,27148
gun,27016
news,26478
win,26197
agree,26031
house,25506
voters,24883
power,24510
law,23862
hillary,23572
america,23459
liberal,23152
comment,23149
minimum,23143
clinton,23142
world,23060
sanders,22996
american,22723
tax,22535
rights,21933
conservative,21381
senate,20319
candidate,20228
democrat,19931
free,19881
public,19730
war,19118
hate,18818
campaign,18419
trumps,18314
votes,18232
guns,17869
americans,17539
media,17315
control,17279
majority,16949
dems,16708
black,16698
racist,16687
congress,16559
politics,16502
rules,16293
bill,16273
court,16267
laws,15961
supporters,15568
history,15435
conservatives,15208
literally,15205
regarding,14985
federal,14952
policy,14740
health,14130
taxes,13989
liberals,13604
poor,13425
voter,13109
fox,13061
evidence,13021
candidates,12801
community,12718
won,12123
democracy,12106
military,12072
business,11789
elections,11705
opinion,11678
progressive,11650
jobs,11593
policies,11498
police,11497
healthcare,11494
economy,11390
absolutely,11330
million,11329
actual,10970
rich,10913
elected,10869
children,10827
facts,10180
legal,10159
fight,10137
race,10032
fair,10001
kids,9945
texas,9925
current,9871
united,9810
god,9770
calling,9729
russia,9641
middle,9564
lives,9422
society,9381
reality,9357
crime,9267
truth,9249
wing,9152
abortion,9083
insurance,9025
donald,9014
illegal,8997
civil,8952
choice,8886
violence,8865
administration,8754
disagree,8697
education,8690
economic,8663
constitution,8637
politicians,8594
lies,8542
lie,8409
wage,8359
bush,8353
citizens,8341
allowed,8313
attack,8294
supreme,8263
justice,8259
polls,8256
speech,8225
death,8204
force,8140
countries,7997
income,7995
nation,7956
joe,7917
amendment,7915
paying,7878
russian,7807
covid,7716
numbers,7697
population,7615
wall,7546
racism,7543
th,7448
florida,7401
freedom,7367
gay,7315
debt,7089
kill,7071
criminal,6987
winning,6900
view,6843
workers,6841
religious,6726
statement,6710
ban,6525
views,6513
foreign,6489
presidency,6453
legislation,6315
false,6267
electoral,6156
climate,6139
fraud,6072
protect,6043
dumb,6038
warren,5981
dnc,5949
crimes,5917
religion,5842
leader,5828
putin,5767
minority,5763
sides,5722
twitter,5703
favor,5673
dem,5671
propaganda,5659
discussion,5603
moderate,5541
evil,5534
california,5439
idiot,5410
defense,5395
senator,5388
shot,5388
individual,5383
fake,5378
conspiracy,5336
weapons,5316
fighting,5278
mental,5266
wins,5247
christian,5223
ballot,5214
investigation,5187
mass,5156
result,5143
agenda,5142
surprised,5100
prison,5035
cases,5012
impeachment,5008
progressives,4983
judge,4898
medical,4887
percent,4867
governor,4823
city,4807
primaries,4782
defend,4753
ignorant,4746
presidents,4726
senators,4706
fascist,4702
wealth,4695
opinions,4686
funding,4657
science,4648
threat,4648
proof,4632
china,4625
banned,4603
values,4582
movement,4523
schools,4503
reform,4503
obamas,4483
poll,4467
businesses,4457
idiots,4428
killing,4422
mcconnell,4416
jesus,4411
immigration,4377
culture,4362
leaders,4352
labor,4347
strategy,4323
politician,4315
faith,4294
fbi,4290
immigrants,4237
georgia,4236
trade,4230
welfare,4223
york,4214
assault,4169
flag,4155
paul,4154
leadership,4147
nominee,4146
violent,4129
medicare,4127
extreme,4045
washington,4007
border,3981
deaths,3929
cruz,3922
attacks,3919
press,3910
individuals,3906
