word,count
people,2098809
trump,988339
right,752060
any,722085
us,675673
government,487473
left,453774
country,373284
biden,369184
vote,364062
state,359137
money,336076
conservative,321002
democrats,308637
white,298509
media,298202
party,297879
president,290950
states,273009
election,272583
agree,260015
political,258530
world,254935
care,246957
black,238833
conservatives,227213
law,226184
free,225467
news,221766
literally,206337
republicans,206299
police,205679
american,204843
liberal,204511
power,203274
obama,203134
racist,198401
america,196133
covid,193233
republican,182672
tax,182563
public,176290
hate,171791
evidence,169978
kids,167981
rights,164773
war,161630
voting,152004
house,149238
control,148274
gun,147379
democrat,146988
liberals,145903
history,140468
china,140006
win,138510
children,138152
politics,137551
business,136782
federal,136155
americans,135693
laws,132678
court,132136
comment,128979
taxes,128556
votes,125314
majority,124470
illegal,122596
actual,122177
absolutely,122154
opinion,120390
bill,117907
dems,113590
death,113038
crime,112257
race,109539
countries,109471
military,108862
lives,108253
god,108178
trumps,108124
society,107089
policy,106789
speech,106103
legal,105914
abortion,104247
health,100343
vaccine,99452
russia,98999
fair,97476
million,97460
poor,97333
economy,96781
allowed,96753
joe,96380
violence,94638
jobs,94179
voters,93850
calling,93386
leftist,92387
gop,91455
guns,91146
force,90938
racism,90066
policies,89623
congress,89332
population,89218
constitution,87891
citizens,87246
disagree,86860
freedom,86707
politicians,86539
truth,86475
fraud,85408
facts,85307
city,84475
virus,84045
senate,83747
cases,83195
twitter,82862
campaign,81432
current,81385
middle,80660
democratic,80097
candidate,79868
hillary,79185
fight,78813
education,78179
choice,77474
reality,76842
numbers,76021
healthcare,75941
culture,75796
cruz,73937
california,73814
shot,73520
paying,73367
leftists,72873
th,72676
statement,72588
cnn,72086
administration,71767
gay,70327
science,70322
rules,70312
sides,70221
amendment,69958
united,68998
nation,68004
civil,67939
won,67826
murder,67549
attack,67319
fake,67180
lie,66726
justice,66593
schools,66478
rich,66428
religion,66308
discussion,66286
voter,65632
kill,65302
clinton,65073
community,64462
deaths,64432
false,64391
view,64230
evil,63967
narrative,63894
elected,63518
texas,62831
elections,62826
income,62824
medical,62822
businesses,61622
protect,61611
cops,61531
ban,60794
foreign,60726
economic,60645
cities,60281
socialism,60234
border,59649
views,59565
religious,59203
dumb,59026
immigration,58290
proof,57659
individual,57094
fox,56136
climate,55672
insurance,55400
property,55012
ballots,54898
socialist,53901
bernie,53469
debt,53007
gender,52882
supporters,52861
killing,52566
violent,52292
banned,51928
defense,51856
wing,51653
mental,51595
fbi,51588
surprised,51553
result,51493
workers,51336
lies,50801
supreme,50304
russian,50163
propaganda,50118
defend,49511
ukraine,49403
bush,49338
woke,49207
democracy,48804
opinions,48787
values,48673
immigrants,48269
agenda,48193
judge,48157
lmao,48105
candidates,48001
wage,47770
movement,47705
florida,47677
criminal,47485
wall,47393
antifa,47078
students,46791
crimes,46606
threat,46530
mass,46417
protest,46019
pandemic,45832
investigation,45814
chinese,45710
bidens,45446
romney,45315
prices,45087
minimum,44398
fighting,44081
conspiracy,43888
theory,43680
insane,43481
press,43063
idiot,42635
church,42524
flag,42380
polls,41939
minority,41819
funding,41816
drug,41764
land,41625
europe,41413
communist,41324
welfare,41211
corrupt,41201
idiots,41112
ideology,40711
christian,40632
favor,40468
destroy,40178
vaccinated,40100
riots,39985
individuals,39924
desantis,39808
nuclear,39791
moral,39578
protests,38995
global,38984
peaceful,38461
capitalism,38211
teachers,38121
trade,38087
winning,38087
bias,37957
student,37745
usa,37668
shooting,37640
leader,37639
ballot,37468
drugs,37464
union,37342
faith,37292
donald,37249
jail,37035
york,36781
birth,36717
vaccines,36646
innocent,36523
proven,36413
constitutional,36316
communism,36018
slavery,35906
wealth,35798
politician,35733
county,35550
weapons,35393
leaders,35137
presidency,35055
extreme,35013
labor,34965
safety,34910
flu,34675
conservatism,34661
governor,34543
prison,34450
ignorant,34339
executive,34272
wins,34226
inflation,33865
anti,33832
damage,33600
nazi,33531
pelosi,33530
criminals,33486
jesus,33482
organization,33481
abortions,33394
governments,33285
israel,33264
moderate,33252
officers,32827
budget,32724
progressive,32613
assault,32547
citizen,32502
courts,32385
msm,32374
legally,32099
putin,31814
percent,31635
nazis,31553
washington,31505
radical,31400
paul,31335
poll,31334
appears,31260
terrorist,31042
authority,30970
career,30945
trial,30512
dem,30480
obamas,30447
racial,30334
corruption,30328
george,30248
nations,30155
peace,30072
dnc,29835
identity,29824
officials,29809
libertarian,29699
impeachment,29681
victim,29595
aoc,29495
garbage,29354
muslim,29353
disgusting,29254
trans,29178
attacks,29049
legislation,28875
cop,28775
muslims,28720
discord,28632
dc,28614
officer,28503
germany,28390
hypocrisy,28284
politically,28229
crisis,28184
disease,28157
biased,28046
presidents,27995
terrorists,27928
leadership,27913
armed,27855
minorities,27830
sanders,27742
west,27606
western,27599
